id,role
Ka-Sat,Космические аппараты
Дискавери,Космические аппараты
United Launch Alliance,Аэрокосмические компании
GSAT-19,Космические аппараты
ASM-135 ASAT,Космические аппараты
GSAT-17,Космические аппараты
Everts Air,Аэрокосмические компании
SwissCube,Космические аппараты
Mitsubishi A6M Zero,Аэрокосмические компании
Starlink,Аэрокосмические компании
Jason-3,Космические аппараты
Аполлон,Космические программы
Dragonfly,Космические аппараты
Планк,Космические аппараты
Virgin Galactic,Аэрокосмические компании
InSight,Аэрокосмические компании
Амос-6,Космические аппараты
МКС,Космические аппараты
Вега,Аэрокосмические компании
OneWeb,Космические аппараты
United Airlines,Аэрокосмические компании
Inmarsat-5 F4,Космические аппараты
Lufthansa,Аэрокосмические компании
GGS WIND,Космические аппараты
Артемида,Космические программы
Qatar Airways,Аэрокосмические компании
