id,role
SpaceX,USA
Jet Propulsion Laboratory,USA
Armstrong Flight Research Center,USA
Federal Aviation Administration,USA
Leonardo,UK
US National Aeronautics and Space Administration (NASA),USA
European Space Agency ESA,Europe
Italian Space Agency (Agenzia Spaziale Italiana),Italy
Naked Science,USA
Starlink,USA
Safran,France
Space Research Center,USA
Roscosmos,Russia
Kennedy Space Center,USA
SpaceNews,USA
UK space agency,UK
Blue Origin,USA
United Launch Alliance,USA
Marshall Space Flight Center,USA
Meggitt PLC,UK
Guiana Space Center,France
ClearSpace,Europe
Virgin Galactic,USA
Rocket Lab,USA
Japan Aerospace Exploration Agency,Japan
